1
a aa

**

4
hoge
huga
huga
piyo

**

a
15
2000  4  1                 hoge  1        500  1
2000  4  2                 hoge  1        500  1
2000  4  3                 hoge  1        500  1
2001  4  1                 hoge  1        500  1
2002  4  1                 hoge  1        500  1
2005  4  1                 hoge  1        500  1
2010  4  1                 hoge  1        500  1
2015  4  1                 hoge  1        500  1
2016  4  1                 hoge  1        500  1
2020  4  1                 hoge  1        500  1
2030  4  1                 hoge  1        500  1
2050  4  1                 hoge  1        500  1
2070  4  1                 hoge  1        500  1
2075  4  1                 hoge  1        500  1
2080  4  1                 hoge  1        500  1

**

